City,Longitude,Latitude
Metepec,-100,19
"Washington, DC",-77,39
"Valley Stream, NY",-74,41
"Madison, WI",-89,43
"Sarreguemines, France",7,49
"Anchorage, AK, USA",-150,61
"Sydney, Australia",151,-34
Beijing,116,40
Jinzhou,121,41
"Jiaxing, China",120.75,30.76
Shanghai,121,31
Shenyang,123.3,41.8
Odesa,31,46
Singapore,104,1
Manama,51,26
Dedham,-71,42
Guangzhou,113,23.12911
New Rochelle,-73.791809,40.922794
Xiamen,118.09,24.48
Basildon,0,52
"Birmingham, Alabama",-87,34
"Mudanjiang, Heilongjiang Province, China",130,45
Shanghai,122,31
Rio de Janeiro,-43,-23
Bangkok,101,14
"Cambridge, MA",-71,42
Landshut,12,49
Rabat Morocco,-7,34
"Jiangmen, China",113,23
Berlin ,13.4,52.5
Bengbu,117,33
"Millis, MA, USA",-71,42
Shanghai,121,31
Zaozhuang,117.55,34.87
"Summit, NJ ",-74,41
Qingdao,120,36
Shanghai,121,31
Wichita,-97.33,37.68
"Bonn, Germany",7,51
Jamshedpur,86,23
Ho Chi Minh,107,11
New York,-74.006,40.7128
Sirsi,75,15
"Alexandria, VA",-77,39
"Dallas, Texas",-97,33
Kolkata,88,23
Bethesda,-77,39
"Colombo, Sri Lanka",80,7
fuzhou,119.3,26.1
Atlanta,-84,34
shanxi,112.55,38
Guangzhou,113,23
Ekaterinburg,61,57
"Zhuzhou, China",113,28
Providence,-71,42
Seoul,127,37.6
Budapest,19,47
"Mumbai, India ",73,19
Nantong,121,32
China,121.47,31.23
edellin,-76,6
Beirut,36,34
Beijing,116,40
Macau,114,22
"Danville, Kentucky",-85,38
Suzhou,121,31
"Kishiwada, Osaka, Japan",135,34
Singapore,104,1
Istanbul,28.98,41
Wenzhou,121,28
"Bari, Italy",17,41
"Stamford, CT",-73.5,41
Tokyo,139.7,35.7
Shanghai,121.47,31.23
"Dallas, Texas",-97,33
"Santa Ana, CA",-118,34
Edison,-96,36.1
Port Harcourt,6.9746,4.8472
"McLean, VA",-77,38.9339
"Lagos, Nigeria",7,3
Shanghai,121,31
Taipei,122,25
Tabuleiro do Norte ,-38.12967,-5.25012
Beijing,116,40
Patna,85.137566,25.594095
Pesaro,13,44
Sunnyvale,-122,37
Ndu,10.7944,6.4262
"Morristown, NJ",-74,41
Paris,24,49
Kota,76,25
"Scranton, PA",-76,41
Santiago,-70.67,-33.45
"Ranchi, India",85,23
ISTANBUL,29,41
"Longview, Texas",-95,33
Rialto,-117,34
Moscow,38,56
Boston,-71,42
"Worcester, MA",-72,42
Beijing,116,40
Chaoyang,120.46061,41.57935
Mexico City,-99,19
Chengdu,103,30
Mianyang,105,31
Tokyo,139.691711,35.689487
Calcutta,88,23
Baku, Azerbaijan,49.9,40.4
