<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДетскийМир;60;20211230;070000;124.9;124.92;123.9;124.38;2230;0
ДетскийМир;60;20211230;080000;124.28;124.52;124.22;124.5;475;0
ДетскийМир;60;20211230;090000;124.42;124.76;124.4;124.74;1096;0
ДетскийМир;60;20211230;100000;124.74;125.24;124.2;124.5;17609;0
ДетскийМир;60;20211230;110000;124.5;124.86;124.5;124.7;4721;0
ДетскийМир;60;20211230;120000;124.68;124.8;124.62;124.64;4126;0
ДетскийМир;60;20211230;130000;124.7;124.84;124.6;124.82;5746;0
ДетскийМир;60;20211230;140000;124.82;124.88;124.66;124.88;3746;0
ДетскийМир;60;20211230;150000;124.84;124.88;124.68;124.88;5564;0
ДетскийМир;60;20211230;160000;124.82;125;124.8;124.94;6360;0
ДетскийМир;60;20211230;170000;124.94;124.94;124.38;124.5;15332;0
ДетскийМир;60;20211230;180000;124.48;124.82;124.2;124.76;29489;0
ДетскийМир;60;20211230;190000;124.48;124.96;124.24;124.74;3641;0
ДетскийМир;60;20211230;200000;124.74;124.92;124.6;124.9;2946;0
ДетскийМир;60;20211230;210000;124.9;124.98;124.76;124.94;2196;0
ДетскийМир;60;20211230;220000;124.94;125;124.72;124.92;2977;0
ДетскийМир;60;20211230;230000;124.92;125.1;124.74;124.74;4655;0
ДетскийМир;60;20220103;070000;125.26;125.86;124.52;125.82;5818;0
ДетскийМир;60;20220103;080000;125.82;126.1;125.64;125.94;2854;0
ДетскийМир;60;20220103;090000;125.94;126.2;125.74;125.94;4841;0
ДетскийМир;60;20220103;100000;126;127.1;125.9;126.72;13565;0
ДетскийМир;60;20220103;110000;126.74;127.24;126.42;126.84;16693;0
ДетскийМир;60;20220103;120000;126.84;127.4;126.82;127.3;8925;0
ДетскийМир;60;20220103;130000;127.3;127.34;127.02;127.24;5177;0
ДетскийМир;60;20220103;140000;127.12;127.24;127.02;127.14;2533;0
ДетскийМир;60;20220103;150000;127.14;127.16;126.8;127.12;5240;0
ДетскийМир;60;20220103;160000;127.12;127.2;127.04;127.2;1601;0
ДетскийМир;60;20220103;170000;127.1;127.58;126.84;127.02;13142;0
ДетскийМир;60;20220103;180000;127.12;127.32;126.6;127;3709;0
ДетскийМир;60;20220103;190000;127.14;127.3;126.96;127.3;969;0
ДетскийМир;60;20220103;200000;127.22;127.4;126.76;126.76;2941;0
ДетскийМир;60;20220103;210000;126.88;127.18;126.76;127.16;1447;0
ДетскийМир;60;20220103;220000;127.08;127.16;126.84;127.02;1375;0
ДетскийМир;60;20220103;230000;127.1;127.12;126.74;126.74;1908;0
ДетскийМир;60;20220104;060000;127.22;127.22;127.22;127.22;2;0
ДетскийМир;60;20220104;070000;127.22;127.3;126.88;126.92;2797;0
ДетскийМир;60;20220104;080000;126.92;127.16;126.92;127.02;1887;0
ДетскийМир;60;20220104;090000;127.08;127.2;127;127.16;1565;0
ДетскийМир;60;20220104;100000;127.16;127.36;126.52;126.92;12104;0
ДетскийМир;60;20220104;110000;126.92;127;126.8;126.88;12507;0
ДетскийМир;60;20220104;120000;126.88;127;126.84;126.84;22540;0
ДетскийМир;60;20220104;130000;126.84;127.16;126.8;126.98;21028;0
ДетскийМир;60;20220104;140000;126.98;127.18;126.78;127.1;6427;0
ДетскийМир;60;20220104;150000;127.1;127.16;126.24;126.84;15112;0
ДетскийМир;60;20220104;160000;126.8;127.26;126.66;127.04;5403;0
ДетскийМир;60;20220104;170000;127.04;127.26;126.98;127.16;9322;0
ДетскийМир;60;20220104;180000;127.2;127.42;127.1;127.42;14153;0
ДетскийМир;60;20220104;190000;127.2;127.48;126.7;126.8;3695;0
ДетскийМир;60;20220104;200000;126.74;127.32;126.7;127;1864;0
ДетскийМир;60;20220104;210000;127.08;127.2;127;127.08;833;0
ДетскийМир;60;20220104;220000;127.08;127.4;127;127.34;1974;0
ДетскийМир;60;20220104;230000;127.34;127.38;127.16;127.16;718;0
ДетскийМир;60;20220105;060000;127.58;127.58;127.58;127.58;5;0
ДетскийМир;60;20220105;070000;127.6;127.6;126.58;126.92;2428;0
ДетскийМир;60;20220105;080000;126.86;126.88;126.6;126.88;1602;0
ДетскийМир;60;20220105;090000;126.9;127.1;126.72;127.04;359;0
ДетскийМир;60;20220105;100000;127.08;127.1;126.7;127;4345;0
ДетскийМир;60;20220105;110000;127;127.4;126.36;126.86;12686;0
ДетскийМир;60;20220105;120000;126.9;127.28;126.86;127.12;2021;0
ДетскийМир;60;20220105;130000;127.08;127.26;126.96;127.06;2383;0
ДетскийМир;60;20220105;140000;127;127.1;126.44;126.82;7414;0
ДетскийМир;60;20220105;150000;126.78;126.9;126.66;126.66;1987;0
ДетскийМир;60;20220105;160000;126.66;126.94;126.66;126.9;1613;0
ДетскийМир;60;20220105;170000;126.86;126.96;126.6;126.72;8275;0
ДетскийМир;60;20220105;180000;126.68;126.9;126.5;126.86;17348;0
ДетскийМир;60;20220105;190000;127;127;125.26;125.96;13095;0
ДетскийМир;60;20220105;200000;125.82;126.1;125.5;125.62;4012;0
ДетскийМир;60;20220105;210000;125.52;125.76;124.5;124.56;11301;0
ДетскийМир;60;20220105;220000;124.58;124.78;121.5;124.06;30819;0
ДетскийМир;60;20220105;230000;124.28;125.32;124.02;124.04;11201;0
ДетскийМир;60;20220106;060000;124;124;124;124;5;0
ДетскийМир;60;20220106;070000;124.04;124.5;122.72;124.04;4337;0
ДетскийМир;60;20220106;080000;124.08;125.52;123.88;125.04;5322;0
ДетскийМир;60;20220106;090000;125.02;125.78;124.84;125.26;4354;0
ДетскийМир;60;20220106;100000;125.26;126.78;124.42;125.28;26008;0
ДетскийМир;60;20220106;110000;125.28;125.6;123.82;124.36;22752;0
ДетскийМир;60;20220106;120000;124.44;125.2;123.9;124.22;10718;0
ДетскийМир;60;20220106;130000;124.22;124.7;123.86;124.18;12589;0
ДетскийМир;60;20220106;140000;124.22;124.52;123.98;124.08;5449;0
ДетскийМир;60;20220106;150000;124.04;124.62;123.8;124.44;9261;0
ДетскийМир;60;20220106;160000;124.44;124.8;124.26;124.54;13161;0
ДетскийМир;60;20220106;170000;124.54;124.8;124.32;124.72;11059;0
ДетскийМир;60;20220106;180000;124.64;125.2;124.5;125.2;14571;0
ДетскийМир;60;20220106;190000;125.2;125.54;124.84;125.54;2123;0
ДетскийМир;60;20220106;200000;125.54;125.7;125.4;125.58;1337;0
ДетскийМир;60;20220106;210000;125.68;125.7;125.44;125.6;752;0
ДетскийМир;60;20220106;220000;125.6;125.64;125.44;125.52;603;0
ДетскийМир;60;20220106;230000;125.54;125.74;125.06;125.12;1169;0
ДетскийМир;60;20220110;060000;125.84;125.84;125.84;125.84;4;0
ДетскийМир;60;20220110;070000;125.84;126.9;125.76;126.02;3258;0
ДетскийМир;60;20220110;080000;126.02;126.44;126;126.2;1433;0
ДетскийМир;60;20220110;090000;126.2;126.3;125.66;125.86;2450;0
ДетскийМир;60;20220110;100000;125.98;126.56;125.24;125.46;10165;0
ДетскийМир;60;20220110;110000;125.5;125.9;125.06;125.38;5203;0
ДетскийМир;60;20220110;120000;125.38;125.94;125.14;125.9;6593;0
ДетскийМир;60;20220110;130000;125.84;125.98;125.5;125.6;3757;0
ДетскийМир;60;20220110;140000;125.6;125.7;124.7;124.88;14849;0
ДетскийМир;60;20220110;150000;124.88;125.36;124.48;125.28;17267;0
ДетскийМир;60;20220110;160000;125.22;125.5;124.72;124.98;14454;0
ДетскийМир;60;20220110;170000;125;125.1;124.04;124.5;20932;0
ДетскийМир;60;20220110;180000;124.5;124.52;122.7;124;94830;0
ДетскийМир;60;20220110;190000;124.46;124.86;124;124.62;4281;0
ДетскийМир;60;20220110;200000;124.62;124.96;124.3;124.96;1913;0
ДетскийМир;60;20220110;210000;124.98;125.4;124.88;125;1895;0
ДетскийМир;60;20220110;220000;125.08;125.74;125.08;125.52;2243;0
ДетскийМир;60;20220110;230000;125.68;125.72;125.28;125.3;1127;0
ДетскийМир;60;20220111;060000;125.3;125.3;125.3;125.3;2;0
ДетскийМир;60;20220111;070000;124.96;125.92;124.96;125.6;1304;0
ДетскийМир;60;20220111;080000;125.6;125.6;125.36;125.44;1090;0
ДетскийМир;60;20220111;090000;125.46;125.52;125.18;125.32;1469;0
ДетскийМир;60;20220111;100000;125.2;125.22;122.84;123.72;44630;0
ДетскийМир;60;20220111;110000;123.7;123.7;122.86;123.54;29995;0
ДетскийМир;60;20220111;120000;123.56;124.32;123.4;123.92;17840;0
ДетскийМир;60;20220111;130000;123.92;124.06;123.6;123.76;7977;0
ДетскийМир;60;20220111;140000;123.74;123.96;123.24;123.52;30994;0
