Year;Nest;Vis;Age;Temp
2019;HC1904;224;10;12.9
2019;HC1911;123;7;10.8
2019;HC1911;119;8;11
2019;HC1928;150;7;9.6
2019;HC1928;167;9;12.9
2019;HC1933;157;8;10.8
2020;HC2002;101;7;14.2
2020;HC2002;113;8;15.6
2020;HC2002;136;9;17.1
2020;HC2002;158;10;17.4
2020;HC2002;164;11;15.6
2020;HC2002;165;12;16.4
2020;HC2004;179;10;14.2
2020;HC2004;133;11;15.6
2020;HC2008;149;5;17.4
2020;HC2008;176;6;15.6
2020;HC2008;180;7;16.4
2020;HC2012;194;8;14.2
2020;HC2012;222;9;15.6
2020;HC2012;225;10;17.1
2020;HC2013;128;7;14.2
2020;HC2020;231;9;15.6
2020;HC2020;232;10;17.1
2020;HC2020;217;11;17.4
2020;HC2020;220;12;15.6
2020;HC2029;123;8;14.2
2021;HC2114;73;7;19.7
2021;HC2114;124;8;22.4
2021;HC2115;97;6;19.7
2021;HC2115;125;7;22.4
2021;HC2122;145;8;22.4
2021;HC2125;150;10;17
2021;HC2142;76;8;17
2021;HC2142;90;9;17.1
2021;HC2142;109;10;16.5
2021;HC2143;135;8;17
2021;HC2143;154;9;17.1
2021;HC2146;115;8;17
2021;HC2146;102;9;17.1
2021;HC2146;104;10;16.5
2021;HC2149;173;9;17
2021;HC2149;168;10;17.1
2021;HC2149;151;11;16.5
2021;HC2151;176;8;17.1
